Ticker,Quantity,Entry
Cash, 1, 1000000000.0
FXE,1,1.0
FXY,1,1.0
ARKK,1,103.0
SMH,1,103.0
TSLA,1,103.0
TSLQ,1,103.0
XBI,1,103.0
FNGD,1,103.0
EUO,1,103.0

